Name,FIPS,"# Total Population [B01003] | Total population, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Car, truck, or van, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Car, truck, or van | Carpooled, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Bicycle, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Walked, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Taxicab, motorcycle, or other means, 2017","% Sex Of Workers By Means Of Transportation To Work [B08006] | Workers 16 years and over | Worked at home, 2017"
"11102, Astoria, NY",11102,33727,15.6863,2.3046,1.6116,6.0757,0.9562,4.1364
"11103, Astoria, NY",11103,38036,16.0558,2.5214,1.497,6.5839,0.9361,2.6097
"11104, Sunnyside, NY",11104,25725,15.2106,2.3499,1.7473,4.8671,1.6603,5.3424
"11105, Astoria, NY",11105,37288,22.973,3.9768,0.5935,6.5283,0.5935,4.832
"11106, Astoria, NY",11106,40111,13.7981,1.9562,1.7838,8.12,0.994,3.9488
"11109, Long Island City, NY",11109,5298,11.9845,0.232,1.8041,1.0825,0,3.2216
"11201, Brooklyn, NY",11201,61907,6.6285,1.0325,3.0473,11.4399,1.6874,8.602
"11203, Brooklyn, NY",11203,75989,30.6041,3.3332,0.3499,4.4927,1.121,2.9121
"11204, Brooklyn, NY",11204,80056,29.6412,8.698,0.9262,12.9036,0.6364,2.7912
"11205, Brooklyn, NY",11205,45148,12.6886,2.5358,4.7844,13.701,0.7106,6.9454
"11206, Brooklyn, NY",11206,87767,11.9615,2.5985,2.7014,12.1366,0.9922,4.1604
"11207, Brooklyn, NY",11207,92580,23.9308,2.9828,0.4658,4.0643,1.1223,2.7785
"11208, Brooklyn, NY",11208,99145,25.3671,4.29,0.2707,4.2032,0.6461,2.0428
"11209, Brooklyn, NY",11209,67950,27.7888,4.7346,0.5978,8.3539,0.6662,4.4699
"11210, Brooklyn, NY",11210,68988,33.4026,4.8924,0.2848,5.9178,1.2935,3.0494
"11211, Brooklyn, NY",11211,101560,11.9212,2.6785,3.096,13.9517,0.8941,7.356
"11212, Brooklyn, NY",11212,82831,22.1301,3.8334,0.3412,6.1349,1.0724,1.8976
"11213, Brooklyn, NY",11213,66503,17.4194,3.4094,1.5852,9.4056,1.2935,4.5868
"11214, Brooklyn, NY",11214,94283,29.2785,6.4844,0.5663,6.5106,1.1874,2.6057
"11215, Brooklyn, NY",11215,71015,11.1869,2.1415,3.1431,7.7481,0.7369,9.3554
"11216, Brooklyn, NY",11216,57410,12.5165,2.3211,3.4382,5.5564,1.2137,4.684
"11217, Brooklyn, NY",11217,39687,6.9072,1.6023,3.016,7.5625,1.3554,9.5103
"11218, Brooklyn, NY",11218,76960,20.5948,3.5111,2.1785,9.6073,1.6265,5.1821
"11219, Brooklyn, NY",11219,93979,25.3136,7.8768,1.2661,25.2808,1.4151,3.8937
"11220, Brooklyn, NY",11220,100412,20.0205,7.8772,1.0626,15.0705,0.5948,1.4614
"11221, Brooklyn, NY",11221,84536,15.983,1.8486,2.8136,5.5865,0.9981,3.9849
"11222, Brooklyn, NY",11222,36845,14.3754,2.4584,4.4373,8.4125,1.1682,4.895
"11223, Brooklyn, NY",11223,80855,29.0705,6.2281,1.3024,8.5217,0.9851,4.9529
"11224, Brooklyn, NY",11224,45244,28.0869,5.6806,0.3998,9.9362,0.8511,2.347
"11225, Brooklyn, NY",11225,59497,14.32,2.644,1.9438,6.7282,0.8402,4.251
"11226, Brooklyn, NY",11226,102585,14.6809,2.5467,1.443,4.9174,1.422,3.9456
"11228, Brooklyn, NY",11228,44676,40.0717,8.7674,0.3382,8.9895,0.8884,2.5086
"11229, Brooklyn, NY",11229,85776,34.3786,6.6588,1.0203,6.9874,1.2046,4.0599
"11230, Brooklyn, NY",11230,90257,31.8635,6.8297,1.1706,12.863,0.9905,3.1264
"11231, Brooklyn, NY",11231,37680,10.9666,2.3208,5.5139,10.3392,1.6271,8.0847
"11232, Brooklyn, NY",11232,28992,11.8345,3.9694,2.4891,10.0523,1.981,3.4097
"11233, Brooklyn, NY",11233,74982,20.5281,1.8511,1.1573,4.2361,0.9559,2.9573
