Name,FIPS,"# Population, 2020","# Total Population [B01003] | Total population, 2017","% Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Less than high school graduate, 2017","% Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | High school graduate (includes equivalency), 2017","% Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Some college or associate's degree, 2017","% Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Bachelor's degree, 2017","% Place Of Birth By Educational Attainment In The United States [B06009] | Population 25 years and over in the United States | Graduate or professional degree, 2017"
"11356, College Point, NY",11356,21687,24069,21.913,33.4124,24.1263,14.4247,6.1235
"11357, Whitestone, NY",11357,40578,41393,13.9265,25.0637,23.8527,23.2968,13.8603
"11358, Flushing, NY",11358,36446,36959,16.0326,25.1778,27.0801,19.1971,12.5124
"11359, Bayside, NY",11359,0,0,0,0,0,0,0
"11360, Bayside, NY",11360,18062,19501,7.027,18.7255,22.9652,28.8341,22.4483
"11361, Bayside, NY",11361,28891,29072,11.0956,22.6151,24.0824,24.8183,17.3887
"11362, Little Neck, NY",11362,17473,18443,9.4738,20.9978,24.4542,24.2723,20.8018
"11363, Little Neck, NY",11363,6873,7423,3.8116,21.477,23.7127,27.7625,23.2362
"11364, Oakland Gardens, NY",11364,35606,35885,11.1443,23.1442,22.7071,25.1055,17.8989
"11365, Fresh Meadows, NY",11365,40300,45565,13.8635,25.4322,25.1599,21.1792,14.3653
"11366, Fresh Meadows, NY",11366,15819,14308,12.0996,22.5725,22.1107,26.8802,16.337
"11367, Flushing, NY",11367,42743,43496,15.6209,26.4028,19.796,21.9097,16.2707
"11368, Corona, NY",11368,110344,114647,38.2539,31.9752,16.8973,9.4628,3.4108
"11369, East Elmhurst, NY",11369,33872,37325,23.9953,39.0986,19.1537,11.5174,6.235
"11370, East Elmhurst, NY",11370,28583,33789,26.5553,33.8376,17.8016,14.1128,7.6926
"11371, Flushing, NY",11371,69,0,0,0,0,0,0
"11372, Jackson Heights, NY",11372,71595,64298,23.4812,28.6176,19.4338,18.2947,10.1727
"11373, Elmhurst, NY",11373,102498,96353,26.44,29.8583,17.5411,18.5623,7.5983
"11374, Rego Park, NY",11374,43762,43540,9.8073,20.6391,20.2125,29.448,19.8932
"11375, Forest Hills, NY",11375,67221,72937,6.8593,15.3625,18.234,31.5022,28.042
"11377, Woodside, NY",11377,88642,89688,23.1685,30.5078,17.4531,20.1151,8.7555
"11378, Maspeth, NY",11378,33603,35844,14.0992,34.7548,23.7051,18.6871,8.7538
"11379, Middle Village, NY",11379,36851,37524,12.8875,29.8511,23.9222,20.8936,12.4457
"11385, Ridgewood, NY",11385,99441,106598,17.7964,32.7837,24.1947,16.7634,8.4617
"11411, Cambria Heights, NY",11411,19261,19990,8.6492,26.3587,32.5269,20.0192,12.446
"11412, Saint Albans, NY",11412,36841,38833,12.3545,32.2464,32.391,14.1199,8.8882
"11413, Springfield Gardens, NY",11413,39914,42895,11.7625,28.6122,33.6485,16.4655,9.5113
"11414, Howard Beach, NY",11414,26378,29203,14.7992,31.2922,27.294,16.9061,9.7085
"11415, Kew Gardens, NY",11415,18631,19900,8.6933,19.8196,25.3964,26.2233,19.8674
"11416, Ozone Park, NY",11416,22456,27567,23.3661,33.4946,22.721,15.4235,4.9947
"11417, Ozone Park, NY",11417,32154,32425,22.0068,30.4971,24.2442,15.9836,7.2682
"11418, Richmond Hill, NY",11418,35277,39267,22.6238,28.2661,21.3375,17.677,10.0956
"11419, South Richmond Hill, NY",11419,44316,52392,28.3643,32.7783,19.2904,14.6417,4.9253
"11420, South Ozone Park, NY",11420,49554,49396,26.3061,32.0894,23.4843,13.5084,4.6118
"11421, Woodhaven, NY",11421,39434,43567,24.3202,30.3037,23.8495,15.6513,5.8752
"11422, Rosedale, NY",11422,30113,33479,11.1408,28.3032,33.0384,17.5292,9.9883
"11423, Hollis, NY",11423,28360,32407,16.9712,28.8784,25.7026,19.7468,8.7009
"11424, Jamaica, NY",11424,33,0,0,0,0,0,0
"11425, Jamaica, NY",11425,0,0,0,0,0,0,0
"11426, Bellerose, NY",11426,19363,21166,11.5427,29.2995,19.7602,21.8179,17.5797
"11427, Queens Village, NY",11427,21418,23809,13.8987,27.6529,26.4514,19.7793,12.2177
"11428, Queens Village, NY",11428,20579,19859,16.5221,35.1486,29.9445,12.1854,6.1993
"11429, Queens Village, NY",11429,23787,27667,13.9623,28.5136,33.4972,15.8164,8.2104
"11430, Jamaica, NY",11430,556,183,36.7742,38.0645,21.9355,3.2258,0
"11432, Jamaica, NY",11432,59325,65098,21.754,23.1911,20.0133,22.2117,12.8299
"11433, Jamaica, NY",11433,31913,36019,22.6434,34.581,24.927,12.1008,5.7478
"11434, Jamaica, NY",11434,60268,66725,13.4145,33.049,32.0569,15.1336,6.346
"11435, Jamaica, NY",11435,56872,59214,23.2786,25.6901,23.7781,18.1019,9.1513
"11436, Jamaica, NY",11436,20538,20905,19.5975,34.6228,28.2799,11.5978,5.902
"11451, Jamaica, NY",11451,0,0,0,0,0,0,0
"11691, Far Rockaway, NY",11691,59514,65356,27.1664,25.9415,23.681,14.1187,9.0925
"11692, Arverne, NY",11692,19593,20242,24.5304,25.8564,27.2612,15.3591,6.9929
"11693, Far Rockaway, NY",11693,11005,12709,18.0405,29.1098,27.4494,15.1083,10.292
"11694, Rockaway Park, NY",11694,19934,21003,11.2923,22.295,25.7632,23.3524,17.2972
"11697, Breezy Point, NY",11697,4109,3702,2.9242,20.7772,28.1647,26.3563,21.7776
