GROUP,boro,count,date,day
Male,3,12740,2020-05-20,3
Female,4,28141,2020-05-20,3
Male,4,31006,2020-05-20,3
Female,5,6148,2020-05-20,3
Male,5,6863,2020-05-20,3
Female,1,25835,2020-05-19,2
Male,1,26420,2020-05-19,2
Female,2,21736,2020-05-19,2
Male,2,21752,2020-05-19,2
Female,3,11072,2020-05-19,2
Male,3,12693,2020-05-19,2
Female,4,27997,2020-05-19,2
Male,4,30888,2020-05-19,2
Female,5,6133,2020-05-19,2
Male,5,6848,2020-05-19,2
Female,1,25743,2020-05-18,1
Male,1,26324,2020-05-18,1
Female,2,21669,2020-05-18,1
Male,2,21705,2020-05-18,1
Female,3,11033,2020-05-18,1
Male,3,12653,2020-05-18,1
Female,4,27922,2020-05-18,1
Male,4,30797,2020-05-18,1
Female,5,6120,2020-05-18,1
Male,5,6843,2020-05-18,1
