Name,FIPS,"Median Household Income, 2017","# Total Population [B01003] | Total population, 2017","# Sex By Age [B01001] | Total population | Under 5 years, 2017","# Sex By Age [B01001] | Total population | 5 to 9 years, 2017","# Sex By Age [B01001] | Total population | 10 to 14 years, 2017","# Sex By Age [B01001] | Total population | 15 to 17 years, 2017","# Sex By Age [B01001] | Total population | 18 and 19 years, 2017","# Sex By Age [B01001] | Total population | 20 years, 2017","# Sex By Age [B01001] | Total population | 21 years, 2017","# Sex By Age [B01001] | Total population | 22 to 24 years, 2017","# Sex By Age [B01001] | Total population | 25 to 29 years, 2017","# Sex By Age [B01001] | Total population | 30 to 34 years, 2017","# Sex By Age [B01001] | Total population | 35 to 39 years, 2017","# Sex By Age [B01001] | Total population | 40 to 44 years, 2017","# Sex By Age [B01001] | Total population | 45 to 49 years, 2017","# Sex By Age [B01001] | Total population | 50 to 54 years, 2017","# Sex By Age [B01001] | Total population | 55 to 59 years, 2017","# Sex By Age [B01001] | Total population | 60 and 61 years, 2017","# Sex By Age [B01001] | Total population | 62 to 64 years, 2017","# Sex By Age [B01001] | Total population | 65 and 66 years, 2017","# Sex By Age [B01001] | Total population | 67 to 69 years, 2017","# Sex By Age [B01001] | Total population | 70 to 74 years, 2017","# Sex By Age [B01001] | Total population | 75 to 79 years, 2017","# Sex By Age [B01001] | Total population | 80 to 84 years, 2017","# Sex By Age [B01001] | Total population | 85 years and over, 2017","% Population in Poverty, Total, 2020","% Population in Poverty, Total, 2017","% Population in Poverty, Total, 2010"
"11222, Brooklyn, NY",11222,78989,36845,1484,1002,858,539,480,288,291,1451,5912,6110,4099,2754,2047,1873,1945,666,1054,734,759,723,630,552,594,12.1791,13.5862,12.7612
"11223, Brooklyn, NY",11223,53773,80855,7190,5193,4384,3081,1772,909,817,3336,6904,5635,4861,5022,4270,5037,5125,2144,2542,1627,2023,2839,2470,1658,2016,14.7515,16.329,15.2716
"11224, Brooklyn, NY",11224,42181,45244,2627,2632,2253,1306,1035,548,705,1237,2904,2104,2730,2117,2627,2666,2847,1168,1961,1456,1965,2022,2739,1549,2046,23.544,25.7564,24.3161
"11225, Brooklyn, NY",11225,53569,59497,3298,2897,3525,1705,1090,622,795,3028,6845,6172,4556,3406,3649,3360,3292,1567,2077,1161,1450,1994,1168,983,857,21.0435,23.2322,21.7378
"11226, Brooklyn, NY",11226,51411,102585,7257,6355,6303,4071,2254,1292,1306,4707,10033,9386,7488,6860,6061,6045,5555,2716,3329,1999,2168,2710,1888,1589,1213,19.0564,21.1083,19.7657
"11228, Brooklyn, NY",11228,78355,44676,3051,2346,2265,1669,955,430,508,1419,2982,3452,2981,3150,2597,3117,3161,1198,1891,882,1269,1559,1105,1333,1356,10.768,12.0803,11.2664
"11229, Brooklyn, NY",11229,66230,85776,5522,5097,5050,2687,1561,991,1074,3486,5934,5397,5476,4846,5652,5873,6166,2493,3594,2348,2637,3146,2823,1631,2292,13.7036,15.1563,14.2351
"11230, Brooklyn, NY",11230,56501,90257,8313,6746,6397,3821,1889,1271,1295,4025,7005,6058,5163,5076,4835,4927,5072,2073,2778,1961,2309,2800,2298,1710,2435,20.1677,22.1758,20.7499
"11231, Brooklyn, NY",11231,93773,37680,3169,2373,1956,1003,514,224,256,921,2598,4856,3786,3203,2950,2063,2136,805,990,501,611,1099,638,606,422,15.8903,17.394,16.5658
"11232, Brooklyn, NY",11232,46971,28992,1870,2137,1363,913,546,380,239,1438,3206,3358,2677,2072,2374,1801,1166,471,785,432,379,547,385,254,199,23.108,25.5327,23.922
