GROUP,boro,count,rate,date,day
75+,1,6831,4411.17,2020-06-02,16
0-17,2,1590,450.6,2020-06-02,16
18-44,2,16870,3035.98,2020-06-02,16
45-64,2,16989,4993.5,2020-06-02,16
65-74,2,5208,5105.18,2020-06-02,16
75+,2,4674,5744.77,2020-06-02,16
0-17,3,421,181.06,2020-06-02,16
18-44,3,8836,1188.55,2020-06-02,16
45-64,3,8240,2146.67,2020-06-02,16
65-74,3,3430,2343.84,2020-06-02,16
75+,3,4120,3361.59,2020-06-02,16
0-17,4,1436,315.61,2020-06-02,16
18-44,4,22662,2645.08,2020-06-02,16
45-64,4,23424,3842.28,2020-06-02,16
65-74,4,7186,3575.32,2020-06-02,16
75+,4,6675,4264.41,2020-06-02,16
0-17,5,399,385.81,2020-06-02,16
18-44,5,5306,3229.18,2020-06-02,16
45-64,5,5157,3924.87,2020-06-02,16
65-74,5,1344,2961.33,2020-06-02,16
75+,5,1212,3827.21,2020-06-02,16
0-17,1,1690,289.82,2020-06-03,17
18-44,1,20066,1911.93,2020-06-03,17
45-64,1,19279,3262.4,2020-06-03,17
65-74,1,7746,3789.83,2020-06-03,17
75+,1,6852,4424.73,2020-06-03,17
0-17,2,1582,448.33,2020-06-03,17
18-44,2,16929,3046.59,2020-06-03,17
45-64,2,17039,5008.2,2020-06-03,17
65-74,2,5218,5114.98,2020-06-03,17
75+,2,4682,5754.6,2020-06-03,17
0-17,3,425,182.78,2020-06-03,17
18-44,3,8876,1193.93,2020-06-03,17
45-64,3,8278,2156.57,2020-06-03,17
65-74,3,3440,2350.67,2020-06-03,17
75+,3,4133,3372.2,2020-06-03,17
0-17,4,1442,316.93,2020-06-03,17
18-44,4,22774,2658.16,2020-06-03,17
45-64,4,23497,3854.25,2020-06-03,17
65-74,4,7204,3584.28,2020-06-03,17
75+,4,6682,4268.88,2020-06-03,17
0-17,5,399,385.81,2020-06-03,17
18-44,5,5317,3235.88,2020-06-03,17
45-64,5,5166,3931.72,2020-06-03,17
65-74,5,1346,2965.74,2020-06-03,17
75+,5,1215,3836.68,2020-06-03,17
0-17,1,1695,290.68,2020-06-04,18
18-44,1,20119,1916.98,2020-06-04,18
45-64,1,19327,3270.52,2020-06-04,18
65-74,1,7760,3796.68,2020-06-04,18
75+,1,6887,4447.33,2020-06-04,18
0-17,2,1587,449.75,2020-06-04,18
18-44,2,16980,3055.77,2020-06-04,18
45-64,2,17078,5019.66,2020-06-04,18
65-74,2,5234,5130.67,2020-06-04,18
75+,2,4701,5777.95,2020-06-04,18
0-17,3,425,182.78,2020-06-04,18
18-44,3,8898,1196.89,2020-06-04,18
45-64,3,8316,2166.47,2020-06-04,18
65-74,3,3453,2359.56,2020-06-04,18
75+,3,4141,3378.73,2020-06-04,18
0-17,4,1444,317.37,2020-06-04,18
18-44,4,22829,2664.58,2020-06-04,18
45-64,4,23533,3860.16,2020-06-04,18
65-74,4,7214,3589.25,2020-06-04,18
75+,4,6693,4275.91,2020-06-04,18
0-17,5,399,385.81,2020-06-04,18
18-44,5,5330,3243.79,2020-06-04,18
45-64,5,5175,3938.57,2020-06-04,18
65-74,5,1349,2972.35,2020-06-04,18
75+,5,1220,3852.47,2020-06-04,18
0-17,1,1704,292.22,2020-06-05,19
18-44,1,20166,1921.45,2020-06-05,19
45-64,1,19386,3280.51,2020-06-05,19
65-74,1,7778,3805.49,2020-06-05,19
75+,1,6920,4468.64,2020-06-05,19
0-17,2,1594,451.73,2020-06-05,19
18-44,2,17008,3060.81,2020-06-05,19
45-64,2,17106,5027.89,2020-06-05,19
65-74,2,5247,5143.41,2020-06-05,19
75+,2,4713,5792.7,2020-06-05,19
0-17,3,429,184.5,2020-06-05,19
18-44,3,8922,1200.12,2020-06-05,19
45-64,3,8337,2171.94,2020-06-05,19
65-74,3,3457,2362.29,2020-06-05,19
75+,3,4150,3386.07,2020-06-05,19
0-17,4,1449,318.47,2020-06-05,19
18-44,4,22871,2669.48,2020-06-05,19
45-64,4,23590,3869.51,2020-06-05,19
65-74,4,7236,3600.2,2020-06-05,19
75+,4,6716,4290.61,2020-06-05,19
0-17,5,400,386.78,2020-06-05,19
18-44,5,5342,3251.09,2020-06-05,19
45-64,5,5189,3949.22,2020-06-05,19
65-74,5,1353,2981.16,2020-06-05,19
75+,5,1225,3868.26,2020-06-05,19
0-17,1,1715,294.11,2020-06-06,20
18-44,1,20239,1928.41,2020-06-06,20
45-64,1,19444,3290.32,2020-06-06,20
65-74,1,7805,3818.7,2020-06-06,20
75+,1,6954,4490.59,2020-06-06,20
0-17,2,1596,452.3,2020-06-06,20
18-44,2,17046,3067.65,2020-06-06,20
45-64,2,17152,5041.41,2020-06-06,20
65-74,2,5253,5149.29,2020-06-06,20
75+,2,4729,5812.37,2020-06-06,20
0-17,3,430,184.93,2020-06-06,20
18-44,3,8947,1203.48,2020-06-06,20
